system,area
Cs2Ce1Cu1Cl6,0.6163
Cs2Na1Ni1F6,0.5581
Cs2Sb1Au1F6,1.9815
Na2Sc1Cu1Cl6,1.2917
Na2V1Au1F6,0.9792
K2Rh1Au1F6,5.4126
Rb2Nd1Cu1Br6,0.7525
K2Nd1Cu1Cl6,0.3673
K1Sn1I3,6.0078
Cs2Nb1Au1F6,1.1748
K2Sc1Ag1I6,2.3045
K2Li1Bi1Br6,0.2526
K2Y1Ag1Br6,0.0781
Rb1Cu1F3,0.2031
Cs2K1Sb1Cl6,0.1206
K2Hg1Bi1Cl6,2.6057
Rb2Hg1As1F6,0.0796
Rb2Hg1Bi1I6,5.0134
K2Sc1Ag1Br6,0.5329
Cs2Ag1Sb1Cl6,2.632
K2Li1Ta1Br6,0.3759
Cs2Cu1Bi1Br6,5.756
Cs2Rb1Tl1Cl6,0.3101
Cs2In1Hg1F6,0.9038
Cs2Ga1Au1I6,3.7667
K2Na1Cu1F6,1.1169
Cs2Li1Ta1Cl6,0.2668
Cs2Hg1As1Cl6,2.8401
Rb2Tl1In1F6,0.043
K2Rb1Sb1Br6,0.6717
Cs2Y1Cu1I6,1.2403
Rb1Ge1Br3,5.753
K2V1Au1F6,0.7286
Cs1Rb2In1F6,0.0085
Cs2K1Ce1Cl6,0.0591
K2Na1Ta1F6,0.2486
Cs1Rb2Al1Br6,0.0321
K1Sn1Br3,4.4277
Cs2K1Ta1F6,0.5375
Cs2Li1Bi1I6,2.6144
Cs2K1La1F6,0.0059
Rb2Hg1Bi1Br6,3.0421
Rb2Ga1Cu1F6,0.7067
K2Ag1Sb1I6,7.2683
Cs2K1Bi1Cl6,0.0485
Na2Ga1Cu1F6,1.0622
Cs2Ta1Cu1I6,3.1249
K2Rb1As1Br6,0.534
Cs2Hg1Pd1F6,2.0554
Na2Co1Hg1F6,0.6622
Cs1Pd1F3,1.0563
Rb2Hg1Rh1F6,1.6395
Cs2Ga1Au1Br6,2.7419
K2Ga1Au1I6,3.6933
Rb2Na1Mo1Br6,0.2676
Cs2Rb1Ga1Br6,0.2692
Na2Sc1Cu1F6,1.0938
K2Y1Cu1Br6,0.6259
Cs2Sc1Ag1Br6,0.5067
K2Ag1Au1Cl6,1.6789
K2Na1Tl1Cl6,0.5958
K2In1Au1I6,3.5953
K1Ge1Br3,5.6763
Rb2Na1Sb1Br6,0.9404
Cs2Nd1Ag1Br6,0.0852
Rb2Hg1Sb1Br6,3.6634
Rb2In1Au1Br6,2.7732
K2Li1Bi1Cl6,0.0651
Rb2Nb1Au1F6,1.8286
K1Rb2Sc1Br6,0.0805
Rb2Hg1As1I6,6.4248
K2Co1Hg1F6,0.4322
K2Sc1Cu1Cl6,1.3275
Cs2K1La1Cl6,0.0155
Cs2Ag1Bi1Br6,3.8512
K2Na1In1Br6,0.4236
Cs1Hg1Br3,2.4848
Rb2Sc1Au1F6,0.295
Rb1Cd1F3,0.0141
K1Rb2Au1F6,0.1768
K2Tl1Cr1F6,0.087
K2Y1Au1I6,1.9558
Rb2Li1Nd1I6,0.337
Cs2Ag1Au1F6,0.8916
Cs1Fe1F3,0.0184
K1Rb2V1F6,0.0184
Na2Tm1Cu1Cl6,0.2474
Rb2Ta1Ag1F6,4.0999
K2Ga1Au1F6,0.343
K2Tl1In1Br6,1.824
Cs2Hg1Bi1Cl6,2.5262
Rb2Ag1Ir1F6,0.4821
Cs2Na1Sb1Br6,0.9265
Rb2Na1Sc1I6,1.722
Cs2Na1Tl1Cl6,0.6777
K2Ta1Cu1Cl6,1.3052
K2Tl1Ag1Cl6,3.0724
K1Rb2Cu1F6,0.7142
Cs2Tl1Ga1Cl6,0.892
K2Sc1Cu1F6,0.9205
Cs1Cd1F3,0.0154
K2Tl1Ga1Cl6,1.1059
K2Rb1Nb1F6,0.1626
Cs2Nd1Cu1I6,1.3273
K2Ga1Au1Br6,2.8639
Rb2Y1Au1F6,0.2599
K2Na1Au1Br6,1.3854
Rb2Tl1Bi1Br6,3.0534
Rb2Tl1Ag1Br6,2.4133
Rb2Tl1Au1F6,2.3209
Na2Hg1As1I6,6.4492
