system,band_gap
CsBaI2.625Cl0.375,3.504
K2DyCuCl6,2.4629
KRb2AlCl6,4.6491
Rb2NaNdBr6,4.0334
CsPbBr3,1.774
K2AlAuBr6,0
Na2LiTlBr6,0.5731
Cs2RbTlI6,0.6116
Cs2AlAuCl6,0.8686
Cs2LiScCl6,3.705
Rb2HgBiF6,0
Cs2RbNF6,2.9581
K2RbSbF6,3.5055
Cs2AsAuF6,0.8565
Rb2YTlCl6,4.1524
K2LiMoF6,4.4161
CsK2SbF6,3.1372
K2NaPrCl6,4.7855
K2LiRuF6,0
K2AgBiBr6,1.5765
RbCaF3,6.3971
Rb2AgSbCl6,1.6275
Rb2LiAuF6,0.4775
K2LiYBr6,4.036
Cs2AlTlCl6,3.927
RbPdF3,0
Cs2KMoCl6,1.603
Rb2AgBiCl6,2.06
K2AlHgCl6,0
Cs2GaAgI6,0
K2ScAuI6,1.1642
K2LiYF6,6.6971
KGeBr1.5Cl1.5,0.696
Cs2TlRuF6,0.5579
Cs2AgBiCl6,1.928
Cs2KNF6,2.9855
K2TlHgCl6,0
Cs2TmAgCl6,3.7563
K2RbGaF6,5.5929
Rb2SbAuF6,0.7454
K2CuMoBr6,0.3972
Na2MoAuF6,0.9192
Rb2LiYCl6,4.9273
Rb2ScCuF6,1.479
K2ScAgBr6,2.8359
Cs2HgBiF6,0
K2ErCuCl6,2.4197
Rb2NaBiCl6,3.7342
K2GaAgF6,2.243
Rb2NaCeBr6,3.2334
K2LiAsF6,4.5591
Cs2KAlCl6,4.76
K2MnHgF6,0.3587
Rb2CuMoCl6,0.8542
CsRb2GaBr6,2.3778
CsCdF3,3.2859
Cs2TlAsBr6,1.305
K2AsAuF6,0.7657
Cs2AgSbCl6,1.538
Rb2NdCuCl6,2.4344
Rb2ErCuCl6,2.2573
Cs2NaErF6,6.8647
K2TlAuCl6,0
Rb2TlAgI6,0
Rb2AgSbBr6,1.1538
CsPdF3,0
Na2HgAsCl6,0
Rb2LiTmCl6,5.2728
CsCaCl0.375I2.625,3.645
Rb2TiHgF6,2.3262
Cs2YTlBr6,3.6928
Cs2LiScF6,6.6268
KRb2AlF6,6.4284
Rb2NaScF6,6.9076
Cs2TlSbI6,0.9367
CsRb2InF6,4.8289
K2TlAgI6,0
K2NaScF6,6.7497
Na2GaHgCl6,0
K2TbAuCl6,1.9648
Rb2PrAuCl6,2.2207
CsRb2AsCl6,3.5025
K2AlAgBr6,1.4617
Rb2LiAuCl6,0
Cs2InAuCl6,0
Rb2LiTaCl6,0
K2RhAuF6,0.7098
KCa0.5Ba0.5Br3,3.681
K2YCuI6,1.8261
Na2DyCuCl6,1.6541
Na2LiRhF6,1.8438
KRb2MoF6,3.6262
CsRb2SbCl6,3.3826
Na2MnHgF6,0
K2RbSbCl6,3.3633
K2NdAgI6,2.5576
Cs2KCuF6,0.8991
Cs2LiBiF6,4.8946
K2TlGaF6,4.1618
RbSnBr1.875Cl1.125,0.621
K2RuAuF6,0
CsCaCl1.5I1.5,4.011
Cs2RbAsF6,4.5627
Cs2PrAgF6,3.2577
CsK2AsBr6,2.9226
Na2LiCrF6,4.323
Cs2AgSbBr6,1.1916
Cs2HgSbBr6,0
Cs2NaAsF6,4.5578
Na2HgAsF6,0
Rb2AgMoBr6,0.6687
Cs2RbGaI6,0.9753
Rb2NaAuCl6,0
Cs2NaTlF6,3.6228
K2NaCrCl6,1.3875
Cs2RbSbCl6,3.55
Rb2NaInF6,5.2472
K2InAuCl6,0
KSrCl3,4.418
Cs2CuMoBr6,0.3989
Cs2NaCeI6,2.3813
K2LuCuCl6,2.4709
